gruppe,drivlinje,periode,bestand_forrige,tilgang,bestand,nettoavgang,avgangsrate_pct,status,merknad
personbiler,hybrid_og_annet,2025,370000,5565,371162,4403,1.1900000000000002,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori"
personbiler,ikke_elektrisk,2009,2194414,127480,2241172,80722,3.67852191974714,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2010,2241172,160550,2305417,96305,4.2970820624209125,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2011,2305417,167298,2371456,101259,4.392220583087571,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2012,2371456,166908,2433828,104536,4.408093593134344,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2013,2433828,163820,2481421,116227,4.775481258330498,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2014,2481421,148157,2515709,113869,4.588862591233007,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2015,2515709,141825,2540129,117405,4.6668752228497015,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2016,2540129,141734,2564274,117589,4.62925308124115,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2017,2564274,138238,2579298,123214,4.805024736046148,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2018,2579298,111531,2555505,135324,5.246543827041311,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2019,2555505,89679,2539398,105786,4.139534064695628,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2020,2539398,71635,2469356,141677,5.579156949796763,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2021,2469356,70401,2420367,119390,4.834863826843923,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2022,2420367,40077,2306843,153601,6.346186342814954,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2023,2306843,24708,2187523,144028,6.24351115355488,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2024,2187523,16523,2090978,113068,5.168768511233939,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
personbiler,ikke_elektrisk,2025,2090978,9783,1990556,110205,5.270500215688544,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte"
varebiler,elektrisitet,2009,62,12,67,7,11.29032258064516,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2010,67,6,64,9,13.432835820895523,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2011,64,45,101,8,12.5,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2012,101,64,159,6,5.9405940594059405,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2013,159,365,511,13,8.176100628930817,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2014,511,577,1068,20,3.9138943248532287,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2015,1068,767,1808,27,2.528089887640449,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2016,1808,767,2568,7,0.38716814159292035,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2017,2568,951,3478,41,1.5965732087227413,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2018,3478,1929,5314,93,2.6739505462909716,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2019,5314,2093,7336,71,1.3360933383515243,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2020,7336,2586,9752,170,2.317339149400218,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2021,9752,5573,15133,192,1.9688269073010665,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2022,15133,6992,21657,468,3.092579131698936,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2023,21657,8904,29623,938,4.331163134321467,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2024,29623,8224,36986,861,2.906525335043716,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,elektrisitet,2025,36986,13294,49436,844,2.281944519547937,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2017,458476,37538,466865,29149,6.357802807562446,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2018,466865,38289,471002,34152,7.315176764160945,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2019,471002,37664,481470,27196,5.774073146186216,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2020,481470,31758,485530,27698,5.752798720584876,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2021,485530,30589,491611,24508,5.0476798550038104,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2022,491611,24039,485421,30229,6.148967374611227,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2023,485421,21803,477342,29882,6.155893543954629,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2024,477342,21110,474253,24199,5.069530860473204,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,fossil_samlet,2025,474253,17053,468950,22356,4.713939606075238,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2017,454,0,512,-58,-12.77533039647577,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2018,512,1,557,-44,-8.59375,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2019,557,25,611,-29,-5.206463195691203,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2020,611,119,683,47,7.6923076923076925,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2021,683,513,1167,29,4.24597364568082,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2022,1167,487,1596,58,4.970008568980291,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2023,1596,312,2918,-1010,-63.28320802005013,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2024,2918,448,3501,-135,-4.626456477039068,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,hybrid_og_annet,2025,3501,1143,4565,79,2.2564981433876037,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; beregnes først fra 2017, da begge kildene fører hybrider i egen kategori; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2009,379281,22200,387479,14002,3.6917219686723035,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2010,387479,27958,397215,18222,4.702706469253817,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2011,397215,34998,410629,21584,5.433833062699042,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2012,410629,32859,424475,19013,4.6302136478427,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2013,424475,33003,434125,23353,5.501619647800224,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2014,434125,31376,440899,24602,5.667031384969767,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2015,440899,34877,448577,27199,6.168986547939551,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2016,448577,37593,458930,27240,6.0725360417498,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2017,458930,37538,467377,29091,6.338875209726974,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2018,467377,38290,471559,34108,7.297748926455516,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2019,471559,37689,482081,27167,5.761103064515787,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2020,482081,31877,486213,27745,5.755256896662594,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2021,486213,31102,492778,24537,5.046553670922004,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2022,492778,24526,487017,30287,6.146175356854405,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
varebiler,ikke_elektrisk,2023,487017,22115,480260,28872,5.928335150518359,konstruert,"residual: omfatter vraking, eksport, avregistrering og omklassifisering — ikke vraking alene (D-0007). Tilgang fra 14020, nye og bruktimporterte; tilgangen inkluderer campingbiler, som ikke inngår i bestandsvariabelen"
