source_id,utgiver,tabell_dokument,url,variabel,definisjon,enhet,frekvens,geografisk_niva,tidsdekning,uttrekksdato,revisjonsstatus,lisens,transformasjoner,kontrollstatus,kjente_begrensninger
ssb_11602,Statistisk sentralbyrå,Statbanktabell 11602: Indeksdekomponering av energibruk med LMDI-metoden,https://www.ssb.no/statbank/table/11602,lmdi_presedens,SSBs egen LMDI-dekomponering av energibruk etter næring,GWh,år,nasjonalt,1990-2024,,levande,NLOD,ingen,identifisert_api_sok,Brukes kun som metodepresedens; ikke inngangsdata
ssb_notater_2018_45,Statistisk sentralbyrå,"Notater 2018/45: Energiregnskap og -balanse, dokumentasjon (vedlegg A: omregningsfaktorer, tabell A1-A4)",https://www.ssb.no/energi-og-industri/artikler-og-publikasjoner/_attachment/369610,brennverdier_tettheter,"Tetthet (tabell A2) og netto energiinnhold/NCV (tabell A3) per energiprodukt; bensin 0,74 kg/l og 43,9 GJ/tonn; diesel ekskl. bioandel 0,84 og 43,1; biodiesel 0,88 og 36,8; bioetanol 0,791 og 26,8",kg/liter; GJ/tonn,statisk,-,s. 51-52 i notatet (354 s.),2026-08-10,statisk dokumentasjonsnotat,NLOD antatt (SSB-publikasjon),avledet MJ/liter beregnes i kode (energy.py); ingen håndkopiering,verifisert_web,"NCV-gjennomsnittsverdier - faktisk energiinnhold varierer (kildens eget forbehold); fossilproduktene er ekskl. bioandel. Lukker kunnskapsgrense 1 fra fase 0 (D-0018)"
lovdata_stv_veibruksavgift,Lovdata,Stortingsvedtak om veibruksavgift på drivstoff 2026 (FOR-2025-12-18-2759) og eldre årsvedtak,https://lovdata.no/dokument/STV/forskrift/2025-12-18-2759,veibruksavgift_satser,Årlige avgiftsvedtak med satser per liter,kr per liter,år,nasjonalt,vedtak minst 2012-; LTI-kunngjøringer minst 2010-,,årlige vedtak; endringsvedtak forekommer (2026: midlertidig nullsats),bruksvilkår uavklart; robots-blokkering observert for maskinell henting,ingen,kandidat_robots_blokkert,"Direkte henting blokkert; satsinnhold speilverifisert hos Skatteetaten. Maskinell gjenbruk fra lovdata.no må avklares i fase 1"
lovdata_produktforskriften,Lovdata,Produktforskriften (FOR-2004-06-01-922) kapittel 3 paragraf 3-3: omsetningskrav biodrivstoff veitrafikk,https://lovdata.no/forskrift/2004-06-01-922,omsetningskrav_bio,Omsetningskrav for biodrivstoff til veitrafikk med delkrav,volumprosent,år (endringsforskrifter),nasjonalt,2009- (historikk via LTI-endringsforskrifter),,endres ved forskriftsendring,som over,ingen,kandidat_robots_blokkert,Innhold verifisert via Miljødirektoratet; punkt-i-tid-versjoner ligger trolig i Lovdata Pro (betalt)
mdir_omsetningskrav,Miljødirektoratet,Nettside: Omsetningskravet til veitrafikk,https://www.miljodirektoratet.no/ansvarsomrader/klima/transport/omsetningskrav-for-biodrivstoff/omsetningskravet-til-veitrafikk/,omsetningskrav_nivaer,"Gjeldende og vedtatte kravnivåer: 2025: 19 %, 2026: 20 %, 2027: 21 % (delkrav vedlegg V: 12,5/13,5/14,5 %; avansert 1 %/2 % fra 2026/2027)",volumprosent,år,nasjonalt,2025-2027 på siden,2026-08-10,oppdateres ved regelendring,ikke oppgitt på siden,ingen,verifisert_web,Sekundær framstilling av forskriften; brukes som verifikasjonsspeil til forskriftsteksten
skatt_satser_veibruksavgift,Skatteetaten,Satsside: Veibruksavgift på drivstoff,https://www.skatteetaten.no/en/rates/road-usage-tax-on-fuel/,veibruksavgift_satser,"Satser per drivstofftype med årvelger; 2026: bensin 3,77 kr/l, mineralolje 2,28, biodiesel 2,28, bioetanol 2,17; midlertidig nullsats 1.4-1.9.2026",kr per liter,år,nasjonalt,2017-2026,2026-08-10,oppdateres årlig,ingen lisenserklæring funnet på siden,ingen,verifisert_web,Norsk URL-variant ga 404; engelsk side brukt
skatt_avgiftshistorie,Skatteetaten,Avgiftshistorie (PDF-serie),https://www.skatteetaten.no/en/rettskilder/type/rundskriv-retningslinjer-og-andre-rettskilder/avgiftshistorie/,avgiftshistorikk,Historiske satser for gjeldende og opphevede avgifter,kr per liter m.m.,årlige utgaver,nasjonalt,utgaver 2016-2026,2026-08-10,årlige utgaver,ingen lisenserklæring funnet,ingen,identifisert_ikke_lest,Landingsside hentet; selve PDF-ene robots-blokkert i fase 0 - årsdekningen inni er ubekreftet
nve_notat_transport,NVE,Notat: Hvordan vil en omfattende elektrifisering av transportsektoren påvirke kraftsystemet? (Spilde/Skotland),https://www.nve.no/media/4117/nve-notat-om-transport-og-kraftsystemet.pdf,elbil_energiintensitet,"Gjennomsnittlig elbruk per km basert på måledata: personbil 0,2; varebil 0,25; buss/lastebil 1,2",kWh/km,punktverdier,nasjonalt,ca. 2016-2017 (årstall uklart i dokumentet),2026-08-10,statisk notat,ikke oppgitt,ingen,verifisert_web,"Ladetap ikke omtalt; alder gjør verdiene usikre for dagens flåte. Behandles som scenarioparameter, ikke fakta"
drivkraft_salg_1952,Drivkraft Norge,Salgsstatistikk: årlig salg av hovedprodukter tilbake til 1952 (xlsx),https://www.drivkraftnorge.no/Tall-og-fakta/salgsstatistikk/,aarssalg_bransje,Årlig salg av bransjens hovedprodukter,ikke kontrollert (trolig mill. liter),år,nasjonalt,1952-,2026-08-10,ukjent,ingen bruksvilkår funnet på siden,ingen,verifisert_web_lenke_sett,"Siden oppgir selv SSB som kilde (inkl. biodrivstoff) - sammenligning er reproduksjonskontroll, ikke uavhengig validering. Fil-URL (contentassets-GUID) er ustabil; programmatisk nedlasting uprøvd; ingen månedsfil publiseres"
nobil,NOBIL (Norsk elbilforening/Enova),NOBIL API v3 og statistikkside,https://info.nobil.no/api,ladestasjoner,Ladestasjonsdata (posisjon kontakter effekt) med sanntidsstatus,antall/attributter,nå-situasjon,Norge/Sverige,kun nåtilstand,2026-08-10,løpende,CC BY 4.0 (verifisert); API-nøkkel kreves,ingen,verifisert_negativt_for_historikk,"Statistikksiden: NOBIL har dessverre ingen historisk funksjon. Rekonstruksjon via Created-tidsstempler ville ha survivorship-skjevhet. Utelates fra kjernen"
elhub_open,Elhub,Åpne data: Forbruk per kommune gruppe og time,https://dok.elhub.no/data/forbruk-per-kommune-gruppe-og-time-kwh-og-antall,elforbruk_grupper,Timesforbruk etter næringsbaserte forbruksgrupper,kWh,time,kommune,løpende,2026-08-10,løpende,ikke oppgitt på hentede sider,ingen,verifisert_web,Ingen egen forbruksgruppe for elbillading; hjemmelading skjult i husholdningsforbruk - uegnet som valideringskilde for lading
toi_fridstrom_ostli_2016,TØI / European Transport Research Review,"Artikkel: A stock-flow cohort model of the national car fleet (ERTRR 2016), DOI 10.1007/s12544-016-0210-z",https://toi.brage.unit.no/toi-xmlui/handle/11250/2602442,metodereferanse_bestandsmodell,Fagfellevurdert bestand-strøm/kohortmodell for norsk bilpark med overlevelsesrater,-,-,-,2016,2026-08-10,-,åpen landingsside,ingen,verifisert_delvis,Landingsside hentet (tittel/år/fagfellestatus bekreftet); forfatterliste (Fridstrøm og Østli iflg. søketreff) skal bekreftes mot DOI-siden i fase 1
ang_2015_lmdi,Energy Policy,"Ang, B.W.: LMDI decomposition approach: A guide for implementation, Energy Policy 86 (2015) 233-238",https://ideas.repec.org/a/eee/enepol/v86y2015icp233-238.html,metodereferanse_lmdi,Implementeringsveiledning for LMDI-dekomponering,-,-,-,2015,2026-08-10,-,-,ingen,verifisert_web,Volum/år/sider bekreftet via RePEc; DOI hentes fra ScienceDirect-siden i fase 1
etrr_lifespans_2020,European Transport Research Review,Artikkel: Lifespans of passenger cars in Europe - empirical modelling of fleet turnover dynamics,https://etrr.springeropen.com/articles/10.1186/s12544-020-00464-0,metodereferanse_levetid,Empirisk levetids-/utskiftingsmodellering for europeiske bilparker,-,-,-,ca. 2020,,-,-,ingen,kandidat_ikke_verifisert,Kun søketreff; forfattere/år må bekreftes før sitering
figenbaum_2018_phev,World Electric Vehicle Journal,Artikkel: Estimating Real-World Emissions of PHEVs in Norway (Figenbaum m.fl.),https://doi.org/10.3390/wevj9020031,metodereferanse_utility_factor,Empirisk grunnlag for el-andel (utility factor) for ladbare hybrider i Norge,-,-,-,2018,,-,-,ingen,kandidat_ikke_verifisert,Kun søketreff; gjelder ladbare hybrider - ikke rene elbiler
ofv_registreringsstatistikk,Opplysningsrådet for veitrafikken,Registreringsstatistikk (åpne utdrag + betalt detaljtjeneste),https://ofv.no/registreringsstatistikk,nybilregistreringer_detalj,Detaljert registreringsstatistikk per merke/modell,antall,måned,nasjonalt,2005-,2026-08-10,løpende,åpne utdrag uten lisensavklaring; detaljdata kommersielle,ingen,avvist_betalt,Brukes ikke: detaljnivået er betalt og åpne utdrag mangler bruksvilkår; SSB-tabellene dekker behovet
ssb_copyright,Statistisk sentralbyrå,Bruksvilkår for SSB-innhold,https://www.ssb.no/informasjon/copyright,lisens,SSB-statistikk er NLOD-lisensiert; navngivelse kreves; kommersiell bruk tillatt,-,-,-,-,2026-08-10,-,NLOD,ingen,verifisert_web,Unntak: taushetsbelagte data og enkelte bilder; irrelevant for tabelluttrekkene
